Date,Close,MA(10C)s,MA(10C)w,%K(141),%D(3),RSI(14C),MACDHist(12269C),MACD(12269C),MACDSig(12269C),AccDist,CCI(20C),ATR(14)
03/31/21,9907.82,9554.539,9600.237,99.63,82.509,75.057,4.731,132.543,127.812,1.03E+11,226.496,103.301
03/30/21,9635.34,9523.983,9530.449,77.456,60.015,65.773,-22.329,109.971,132.3,1.02E+11,86.319,90.147
03/29/21,9615.63,9526.476,9510.655,70.441,42.774,64.896,-33.573,107.304,140.878,1.02E+11,82.78,93.769
03/28/21,9482.95,9529.487,9494.993,32.147,31.966,58.195,-45.804,104.346,150.151,1.02E+11,10.819,90.776
03/25/21,9417.71,9547.653,9506.757,25.734,39.315,54.204,-46.735,112.563,159.298,1.02E+11,-14.532,90.798
03/24/21,9464.08,9564.661,9533.475,38.016,53.023,57.849,-38.758,128.055,166.814,1.02E+11,12.623,91.804
03/23/21,9489.63,9577.798,9554.151,54.195,61.342,59.911,-29.942,141.245,171.187,1.02E+11,28.763,93.632
03/22/21,9547.42,9576.155,9569.883,66.858,64.097,64.757,-19.455,153.424,172.88,1.02E+11,55.687,94.507
03/21/21,9498.85,9558.85,9571.961,62.973,69.783,62.382,-10.474,160.854,171.328,1.02E+11,44.431,94.173
03/18/21,9485.96,9544.073,9580.184,62.46,79.99,61.747,5.246,172.942,167.696,1.02E+11,45.737,97.25
03/17/21,9602.26,9519.705,9586.319,83.917,90.673,71.922,25.14,187.168,162.028,1.02E+11,91.808,94.102
03/16/21,9660.27,9490.507,9566.001,93.593,95.922,77.866,36.798,190.762,153.963,1.02E+11,124.339,93.117
03/15/21,9645.74,9449.308,9527.644,94.508,95.042,77.432,41.164,186.668,145.503,1.02E+11,138.501,94.205
03/14/21,9664.61,9398.571,9482.704,99.665,95.561,79.306,43.658,180.206,136.547,1.02E+11,172.853,96.222
03/11/2021,9587.79,9346.609,9424.886,90.954,94.633,77.222,39.788,167.416,127.627,1.02E+11,172.84,97.563
03/10/2021,9595.45,9307.322,9373.892,96.064,95.611,77.949,36.139,156.478,120.339,1.02E+11,211.883,98.125
03/09/2021,9473.2,9259.353,9312.783,96.881,94.618,74.375,25.165,139.461,114.295,1.02E+11,190.674,94.588
03/08/2021,9374.37,9227.204,9268.057,93.886,87.343,70.824,18.709,128.16,109.45,1.01E+11,161.274,93.15
03/07/2021,9351.08,9197.529,9235.904,93.087,88.965,69.912,16.216,121.934,105.718,1.01E+11,164.36,94.406
03/04/2021,9242.28,9171.018,9203.165,75.055,89.608,65.192,12.65,114.586,101.935,1.01E+11,103.503,91.432
03/03/2021,9310.28,9149.213,9186.244,98.752,86.778,71.723,15.899,114.618,98.719,1.01E+11,137.248,93.109
03/02/2021,9248.28,9126.616,9152.85,95.017,78.189,69.102,11.122,106.067,94.945,1.01E+11,108.464,95.158
03/01/2021,9138.37,9111.984,9128.069,66.565,75.862,63.54,7.94,99.924,91.984,1.01E+11,69.502,92.584
02/28/21,9144.99,9106.325,9122.243,72.986,81.356,64.186,13.098,101.82,88.722,1.01E+11,77.25,92.71
02/25/21,9194.92,9095.379,9113.223,88.036,89.136,69.109,18.406,102.086,83.679,1.01E+11,102.069,92.187
02/24/21,9115.76,9070.272,9090.559,83.045,89.947,65.177,19.114,95.856,76.741,1.01E+11,83.881,87.94
02/23/21,9151.71,9048.859,9078.395,96.327,92.833,68.874,25.997,94.57,68.572,1.02E+11,106.456,84.051
02/22/21,9077.62,9022.98,9054.99,90.469,88.254,65.084,28.798,87.892,59.093,1.01E+11,89.281,82.802
02/21/21,9085.97,8996.152,9040.178,91.701,88.583,65.924,36.67,85.634,48.964,1.02E+11,104.791,85.326
02/18/21,9024.23,8956.348,9016.61,82.592,89.37,62.611,43.243,80.657,37.413,1.02E+11,90.497,85.421
02/17/21,9084.31,8915.712,8996.879,91.456,92.2,68.642,54.161,79.417,25.256,1.02E+11,130.939,84.761
02/16/21,9101.96,8861.536,8956.375,94.061,94.352,70.494,57.387,70.562,13.175,1.02E+11,157.994,85.425
02/15/21,9081.78,8813.197,8903.873,91.083,94.467,69.624,53.595,56.437,2.842,1.02E+11,166.27,85.051
02/14/21,9035.53,8769.862,8847.16,97.913,92.803,67.589,43.701,39.641,-4.06,1.02E+11,151.416,83.387
02/11/2021,8943.85,8736.564,8792.803,94.405,91.644,63.033,29.907,22.337,-7.57,1.02E+11,103.585,81.813
02/10/2021,8901.63,8722.881,8752.627,86.09,85.613,60.668,16.821,9.259,-7.561,1.01E+11,77.358,84.078
02/09/2021,8892.92,8711.13,8717.99,94.436,72.087,60.18,1.442,-3.267,-4.71,1.02E+11,70.386,84.212
02/08/2021,8809.34,8700.825,8683.064,76.312,51.023,55.231,-18.39,-18.322,0.068,1.01E+11,12.042,82.319
02/07/2021,8687.93,8704.586,8664.018,45.513,25.586,46.215,-36.158,-28.761,7.396,1.01E+11,-73.751,78.323
02/04/2021,8617.87,8718.745,8669.62,31.244,11.141,39.709,-46.168,-29.305,16.863,1.01E+11,-134.975,76.521
02/03/2021,8542.55,8744.607,8692.664,0,0.726,31.428,-49.341,-22.44,26.901,1.01E+11,-212.667,69.959
02/02/2021,8618.57,8778.182,8735.506,2.18,3.73,36.071,-42.611,-5.682,36.928,1.01E+11,-172.835,69.175
02/01/2021,8648.43,8806.512,8769.677,0,13.436,38.126,-37.362,8.049,45.411,1.01E+11,-157.147,66.517
01/31/21,8702.55,8834.798,8803.562,9.009,16.157,42.168,-30.222,22.418,52.64,1.02E+11,-109.283,63.36
01/28/21,8807.02,8852.033,8830.741,31.299,27.832,52.062,-23.312,34.921,58.233,1.02E+11,-5.911,58.272
01/27/21,8784.12,8861.199,8840.592,8.164,38.508,49.658,-22.202,39.736,61.938,1.02E+11,-19.102,56.803
01/26/21,8789.87,8874.216,8856.973,44.033,56.116,50.245,-17.362,47.634,64.997,1.02E+11,-13.279,58.376
